09.04.2024 - 08:39:44 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:39:53 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:39:55 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:40:02 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:40:08 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:40:09 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:40:14 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:40:19 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:40:20 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:40:24 | __chat_bot__ |  13328  - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:40:55 | __chat_bot__ |  16804  - DEBUG    - main.py   :227 - Startup...
09.04.2024 - 08:45:29 | __chat_bot__ |  29676  - DEBUG    - main.py   :227 - Startup...
09.04.2024 - 08:45:46 | __chat_bot__ |  29676  - DEBUG    - main.py   :118 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt
09.04.2024 - 08:45:57 | __chat_bot__ |  29676  - DEBUG    - main.py   :118 - coordinates changed >>> x=2226, y=60
09.04.2024 - 08:45:58 | __chat_bot__ |  29676  - DEBUG    - main.py   :238 - Startup Chat-Bot >>> {'x': 2226, 'y': 60, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 08:46:10 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Schweiz
09.04.2024 - 08:46:17 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Island
09.04.2024 - 08:46:23 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Komoren
09.04.2024 - 08:46:29 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Bulgarien
09.04.2024 - 08:46:37 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Ã–sterreich
09.04.2024 - 08:46:45 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Komoren
09.04.2024 - 08:46:49 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Singapur
09.04.2024 - 08:46:52 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Uganda
09.04.2024 - 08:46:54 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Liberia
09.04.2024 - 08:47:00 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Kiribati
09.04.2024 - 08:47:04 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Kongo, Republik
